#cam_angle[deg]	polar_radius[mm]
72.2500	21.1976380
72.5000	21.2223430
72.7500	21.2465870
73.0000	21.2704210
73.2500	21.2938300
73.5000	21.3167680
73.7500	21.3392980
74.0000	21.3614220
74.2500	21.3830640
74.5000	21.4043000
74.7500	21.4251320
75.0000	21.4455060
75.2500	21.4654580
75.5000	21.4850080
75.7500	21.5041290
76.0000	21.5228060
76.2500	21.5410840
76.5000	21.5589640
76.7500	21.5763750
77.0000	21.5933900
77.2500	21.6100090
77.5000	21.6261920
77.7500	21.6419500
78.0000	21.6573150
78.2500	21.6722780
78.5000	21.6867860
78.7500	21.7009010
79.0000	21.7146240
79.2500	21.7279130
79.5000	21.7407820
79.7500	21.7532610
80.0000	21.7653460
80.2500	21.7769720
80.5000	21.7882090
80.7500	21.7990560
81.0000	21.8094800
81.2500	21.8194760
81.5000	21.8290840
81.7500	21.8383010
82.0000	21.8470690
82.2500	21.8554380
82.5000	21.8634170
82.7500	21.8709900
83.0000	21.8781210
83.2500	21.8848630
83.5000	21.8912150
83.7500	21.8971360
84.0000	21.9026400
84.2500	21.9077540
84.5000	21.9124790
84.7500	21.9167480
85.0000	21.9206250
85.2500	21.9241120
85.5000	21.9271870
85.7500	21.9298260
86.0000	21.9320740
86.2500	21.9339330
86.5000	21.9353560
86.7500	21.9363650
87.0000	21.9369850
87.2500	21.9372140
87.5000	21.9369850
87.7500	21.9363680
88.0000	21.9353630
88.2500	21.9339480
88.5000	21.9321010
88.7500	21.9298690
89.0000	21.9272510
89.2500	21.9242070
89.5000	21.9207540
89.7500	21.9169180
90.0000	21.9126990
90.2500	21.9080400
90.5000	21.9029920
90.7500	21.8975640
91.0000	21.8917460
91.2500	21.8854930
91.5000	21.8788620
91.7500	21.8718540
92.0000	21.8644410
92.2500	21.8566130
92.5000	21.8484100
92.7500	21.8398310
93.0000	21.8308360
93.2500	21.8214440
93.5000	21.8116780
93.7500	21.8015400
94.0000	21.7909730
94.2500	21.7800270
94.5000	21.7687110
94.7500	21.7570180
95.0000	21.7448970
