#cam_angle[deg]	polar_radius[mm]
72.2500	20.6818770
72.5000	20.7108730
72.7500	20.7396150
73.0000	20.7681000
73.2500	20.7962960
73.5000	20.8242110
73.7500	20.8518550
74.0000	20.8792240
74.2500	20.9063030
74.5000	20.9330680
74.7500	20.9595470
75.0000	20.9857360
75.2500	21.0116320
75.5000	21.0371870
75.7500	21.0624420
76.0000	21.0873970
76.2500	21.1120470
76.5000	21.1363460
76.7500	21.1603290
77.0000	21.1840010
77.2500	21.2073590
77.5000	21.2303570
77.7500	21.2530270
78.0000	21.2753770
78.2500	21.2974040
78.5000	21.3190640
78.7500	21.3403860
79.0000	21.3613800
79.2500	21.3820450
79.5000	21.4023340
79.7500	21.4222800
80.0000	21.4418910
80.2500	21.4611670
80.5000	21.4800590
80.7500	21.4986030
81.0000	21.5168080
81.2500	21.5346720
81.5000	21.5521440
81.7500	21.5692650
82.0000	21.5860420
82.2500	21.6024740
82.5000	21.6185040
82.7500	21.6341820
83.0000	21.6495110
83.2500	21.6644900
83.5000	21.6790580
83.7500	21.6932730
84.0000	21.7071350
84.2500	21.7206360
84.5000	21.7337260
84.7500	21.7464580
85.0000	21.7588330
85.2500	21.7708350
85.5000	21.7824280
85.7500	21.7936590
86.0000	21.8045280
86.2500	21.8150120
86.5000	21.8250890
86.7500	21.8348000
87.0000	21.8441450
87.2500	21.8530900
87.5000	21.8616340
87.7500	21.8698070
88.0000	21.8776090
88.2500	21.8849960
88.5000	21.8919890
88.7500	21.8986070
89.0000	21.9048500
89.2500	21.9106590
89.5000	21.9160830
89.7500	21.9211280
90.0000	21.9257870
90.2500	21.9300070
90.5000	21.9338460
90.7500	21.9373020
91.0000	21.9403500
91.2500	21.9429720
91.5000	21.9452090
91.7500	21.9470600
92.0000	21.9484780
92.2500	21.9494860
92.5000	21.9501050
92.7500	21.9503340
93.0000	21.9501040
93.2500	21.9494830
93.5000	21.9484700
93.7500	21.9470410
94.0000	21.9451750
94.2500	21.9429170
94.5000	21.9402670
94.7500	21.9371750
95.0000	21.9336710
95.2500	21.9297730
95.5000	21.9254760
95.7500	21.9207220
96.0000	21.9155750
96.2500	21.9100330
96.5000	21.9040630
96.7500	21.8976610
97.0000	21.8908650
97.2500	21.8836730
97.5000	21.8760210
97.7500	21.8679650
98.0000	21.8595130
98.2500	21.8506380
98.5000	21.8413180
98.7500	21.8315990
99.0000	21.8214820
99.2500	21.8109040
99.5000	21.7999130
99.7500	21.7885210
100.0000	21.7767010
100.2500	21.7644300
100.5000	21.7517560
100.7500	21.7386780
101.0000	21.7251240
101.2500	21.7111590
101.5000	21.6967860
101.7500	21.6819640
102.0000	21.6666960
102.2500	21.6510180
102.5000	21.6349120
102.7500	21.6183310
103.0000	21.6013350
103.2500	21.5839240
103.5000	21.5660200
103.7500	21.5476920
104.0000	21.5289440
104.2500	21.5097140
104.5000	21.4900380
104.7500	21.4699370
105.0000	21.4493580
105.2500	21.4283150
105.5000	21.4068400
105.7500	21.3848870
106.0000	21.3624560
106.2500	21.3395870
106.5000	21.3162310
106.7500	21.2923900
107.0000	21.2681040
107.2500	21.2433180
107.5000	21.2180460
107.7500	21.1923260
