# compression_s[mm]  force[N]
2.500000  59.1138
5.000000  119.4723
7.500000  182.2181
10.000000  245.6687
11.500000  286.3716
14.000000  356.1725
15.812500  407.2364
16.739746  434.9083
17.587402  467.4505
18.651367  521.6861
19.133667  549.6857
19.447042  569.6366
19.881601  603.6226
20.503629  664.5368
20.873769  709.0060
21.121543  754.6820
21.150691  760.5673
21.164422  763.1832
21.254958  781.5281
21.500000  841.5954
