# compression_s[mm]  force[N]
2.500000  55.0675
5.000000  109.8654
7.500000  164.5415
10.000000  222.6658
12.500000  281.7806
12.900000  291.3473
15.150000  348.5649
15.655859  364.6342
16.390947  390.5803
17.591129  442.5467
18.584480  497.9109
19.403357  556.6501
20.362186  654.6082
20.683720  713.6258
20.952339  815.1102
20.954685  822.0023
