# compression_s[mm]  force[N]
2.500000  61.0088
5.000000  123.4584
7.500000  188.4127
10.000000  254.0277
12.200000  316.0233
14.700000  388.3370
16.512500  441.7411
17.087085  459.9135
17.627277  480.2647
17.883658  491.7090
18.708643  534.4932
19.175108  561.0369
19.735565  596.4058
20.283633  641.6718
20.956941  711.3867
21.237399  748.2002
21.505601  800.1317
21.967792  1152.3055
22.031646  2004.0698
22.037150  2066.8787
22.048297  2220.7192
22.079996  2716.4710
22.079996  2731.7797
