553.0544	8.3875
553.6514	8.4
554.3975	8.42
554.9944	8.435
555.5914	8.45
556.1883	8.4675
556.9345	8.485
557.5314	8.5
558.2776	8.515
558.8745	8.5325
559.4714	8.5475
560.2176	8.565
560.8145	8.58
561.5607	8.595
562.1576	8.6125
562.7545	8.63
563.5007	8.645
564.0976	8.665
564.6945	8.6775
565.4407	8.6925
566.0376	8.71
566.7838	8.725
567.3807	8.745
568.1268	8.7575
568.7238	8.775
569.3207	8.79
570.0668	8.805
570.6638	8.825
571.4099	8.8375
572.0068	8.855
572.6038	8.87
573.3499	8.8875
573.9468	8.9075
574.6931	8.92
575.29	8.935
575.8869	8.9525
576.6331	8.9675
577.23	8.9875
577.8269	9.0025
578.5731	9.015
579.17	9.0325
579.9161	9.0475
580.5131	9.0675
581.2592	9.0825
581.8561	9.095
582.6023	9.1125
583.1992	9.1275
583.9454	9.1475
584.5423	9.1625
585.2885	9.18
585.8854	9.1925
586.6315	9.21
587.2285	9.2275
587.9746	9.2425
588.7208	9.26
589.3177	9.2725
590.0638	9.29
590.6608	9.3075
591.4069	9.3225
592.0038	9.34
592.7501	9.3525
593.347	9.37
594.0931	9.39
594.8393	9.405
595.4362	9.42
596.1824	9.435
596.7793	9.45
597.5255	9.47
598.2716	9.485
598.8685	9.5
599.6147	9.515
600.3608	9.53
601.107	9.55
601.7039	9.565
602.4501	9.5825
603.047	9.5975
603.7932	9.6125
604.5393	9.63
605.1362	9.645
605.8824	9.6625
606.6285	9.675
607.3747	9.6925
607.9716	9.7125
608.7178	9.7275
609.4639	9.7425
610.0609	9.76
610.807	9.7725
611.404	9.79
612.1501	9.805
612.8963	9.8225
613.4932	9.84
614.2394	9.8525
614.9855	9.8725
615.5825	9.8875
616.3286	9.905
617.0748	9.92
617.8209	9.9325
618.4178	9.9525
619.164	9.9675
619.9102	9.985
620.6563	10
